,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,SourceEUI(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity
125,NonResidential,Other,5,NORTHWEST,47.70956,-122.3345,1996,3,0,"Financial Office, Medical Office, Parking",Financial Office,Parking,15385.0,194.1000061,3313397.0,0.0,1859345.0,False,Compliant,83.7,1.51
126,SPS-District K-12,K-12 School,6,BALLARD,47.67661,-122.37489,1999,2,0,K-12 School,K-12 School,Rien,28444.075817081597,107.3000031,9708318.0,0.0,7859464.0,True,Error - Correct Default Data,123.71,0.51
127,NonResidential,Self-Storage Facility,3,EAST,47.61233,-122.3171,1910,5,0,Self-Storage Facility,Self-Storage Facility,Rien,28444.075817081597,28.79999924,1617801.25,0.0,482635.0,False,Compliant,51.11,0.6
128,Campus,University,5,NORTHWEST,47.69936,-122.33401,1970,2,111625,College/University,College/University,Rien,28444.075817081597,161.1999969,37410800.0,0.0,33450832.0,False,Compliant,362.82,0.52
129,SPS-District K-12,K-12 School,2,SOUTHEAST,47.54632,-122.28198,1952,2,0,K-12 School,K-12 School,Rien,28444.075817081597,58.90000153,7034167.5,0.0,1800727.0,True,Error - Correct Default Data,242.36,1.4
130,SPS-District K-12,K-12 School,1,DELRIDGE,47.54862,-122.36214,1963,1,0,K-12 School,K-12 School,Rien,28444.075817081597,69.5,6337972.0,0.0,1864967.0,True,Error - Correct Default Data,206.01,1.42
131,NonResidential,Warehouse,2,GREATER DUWAMISH,47.55152,-122.31869,1904,4,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Rien,28444.075817081597,36.0,2415462.5,0.0,912475.0,False,Compliant,69.44,0.61
132,SPS-District K-12,K-12 School,2,SOUTHEAST,47.52407,-122.26586,1960,2,0,K-12 School,K-12 School,Rien,28444.075817081597,84.19999695,10067991.0,0.0,2999862.0,True,Error - Correct Default Data,328.97,1.79
133,SPS-District K-12,K-12 School,6,BALLARD,47.69675,-122.3776,1959,1,0,K-12 School,K-12 School,Rien,28444.075817081597,0.0,0.0,0.0,0.0,False,Missing Data,229.38,1.43
134,NonResidential,Warehouse,2,GREATER DUWAMISH,47.55901,-122.33328,1937,1,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Rien,28444.075817081597,42.0,7874958.5,0.0,1316817.0,False,Compliant,297.43,1.27
135,NonResidential,Retail Store,1,DELRIDGE,47.52254,-122.36627,1966,1,0,Retail Store,Retail Store,Rien,28444.075817081597,130.6999969,3016373.5,0.0,2613687.0,False,Compliant,35.78,0.55
136,NonResidential,Retail Store,1,DELRIDGE,47.52254,-122.36627,1965,1,0,Retail Store,Retail Store,Rien,28444.075817081597,223.8999939,9589728.0,0.0,2624102.0,False,Compliant,369.14,5.45
137,SPS-District K-12,K-12 School,1,DELRIDGE,47.52915,-122.36511,2010,2,0,K-12 School,K-12 School,Rien,28444.075817081597,81.59999847,13279344.0,0.0,8205020.0,False,Compliant,272.85,0.74
138,SPS-District K-12,K-12 School,1,DELRIDGE,47.51778,-122.37074,1958,1,0,K-12 School,K-12 School,Rien,28444.075817081597,82.19999695,2380144.5,0.0,797204.0,True,Error - Correct Default Data,73.47,1.57
139,SPS-District K-12,K-12 School,3,CENTRAL,47.59796,-122.30415,1963,3,0,K-12 School,K-12 School,Rien,28444.075817081597,0.0,0.0,0.0,0.0,False,Missing Data,170.9,1.25
140,NonResidential,Other,6,BALLARD,47.67767,-122.39631,1973,3,0,Other,Other,Rien,28444.075817081597,66.19999695,2088978.125,0.0,844864.0,False,Compliant,59.34,1.06
141,SPS-District K-12,K-12 School,2,SOUTHEAST,47.54174,-122.27691,2004,2,0,K-12 School,K-12 School,Rien,28444.075817081597,78.0,2260359.75,0.0,1445339.0,True,Error - Correct Default Data,46.36,0.69
142,NonResidential,Self-Storage Facility,1,SOUTHWEST,47.54508,-122.37737,1969,2,0,Self-Storage Facility,Self-Storage Facility,Rien,28444.075817081597,48.79999924,1576122.875,0.0,523765.0,False,Compliant,48.99,0.94
143,SPS-District K-12,K-12 School,4,LAKE UNION,47.65708,-122.33803,2010,3,0,K-12 School,K-12 School,Rien,28444.075817081597,100.0,4998584.5,0.0,3729930.0,True,Error - Correct Default Data,80.08,0.63
144,NonResidential,Hotel,3,LAKE UNION,47.62972,-122.32906,1998,5,30000,"Hotel, Parking, Swimming Pool",Hotel,Parking,30000.0,148.1999969,9676783.0,0.0,4079217.0,False,Compliant,309.6,2.5
145,Nonresidential COS,Other,3,LAKE UNION,47.62759,-122.33661,1900,1,0,Museum,Museum,Rien,28444.075817081597,368.8999939,7942537.5,0.0,3797924.0,False,Compliant,225.69,4.51
146,Nonresidential COS,Warehouse,7,MAGNOLIA / QUEEN ANNE,47.62591,-122.34084,1926,2,0,"Non-Refrigerated Warehouse, Office, Other - Services, Residence Hall/Dormitory",Non-Refrigerated Warehouse,Residence Hall/Dormitory,5000.0,25.10000038,430473.6875,0.0,430474.0,False,Compliant,3.0,0.06
147,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62782,-122.34045,1998,7,54341,Hotel,Hotel,Rien,28444.075817081597,164.5,11754087.0,0.0,5530787.0,False,Compliant,338.16,1.63
148,SPS-District K-12,K-12 School,6,BALLARD,47.68359,-122.37308,1999,2,0,K-12 School,K-12 School,Rien,28444.075817081597,84.30000305,2443194.0,0.0,1564728.0,True,Error - Correct Default Data,49.12,0.73
149,Nonresidential COS,Small- and Mid-Sized Office,5,NORTHWEST,47.70044,-122.34136,1957,2,0,"Data Center, Distribution Center, Office, Other, Parking",Office,Distribution Center,32881.0,262.7000122,10005492.0,0.0,7093984.0,False,Compliant,175.77,1.93
150,SPS-District K-12,K-12 School,1,SOUTHWEST,47.54025,-122.3885,1991,3,0,K-12 School,K-12 School,Rien,28444.075817081597,66.09999847,1519074.75,0.0,1158457.0,True,Error - Correct Default Data,21.29,0.37
151,NonResidential,Hotel,5,NORTHWEST,47.70916,-122.33216,1968,4,0,Hotel,Hotel,Rien,28444.075817081597,184.6999969,6211749.5,0.0,2620548.0,False,Compliant,208.26,3.21
152,SPS-District K-12,K-12 School,5,NORTH,47.69823,-122.32126,1989,2,0,K-12 School,K-12 School,Rien,28444.075817081597,0.0,0.0,0.0,0.0,False,Missing Data,0.0,0.0
153,SPS-District K-12,K-12 School,2,GREATER DUWAMISH,47.53809,-122.29591,1925,1,0,K-12 School,K-12 School,Rien,28444.075817081597,68.0,4138032.75,0.0,491106.0,True,Error - Correct Default Data,168.88,2.39
154,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60105,-122.33518,1900,3,0,"Office, Restaurant, Self-Storage Facility",Office,Self-Storage Facility,7672.0,101.3000031,1722053.0,0.0,1317637.0,False,Compliant,28.27,0.63
155,NonResidential,Other,2,GREATER DUWAMISH,47.59544,-122.33159,1999,6,327680,"Other - Entertainment/Public Assembly, Parking",Other - Entertainment/Public Assembly,Parking,0.0,104.6999969,62160304.0,0.0,49439914.0,False,Compliant,892.63,0.56
156,Nonresidential COS,Distribution Center,2,GREATER DUWAMISH,47.57199,-122.32811,1924,2,0,"Data Center, Distribution Center, Office, Other",Distribution Center,Office,37321.0,156.3000031,10168523.0,0.0,8772104.0,False,Compliant,96.43,0.54
157,Nonresidential COS,Warehouse,2,GREATER DUWAMISH,47.57199,-122.32811,1965,2,0,"Non-Refrigerated Warehouse, Office, Other, Other - Services",Non-Refrigerated Warehouse,Other - Services,16735.0,175.3999939,4327563.5,0.0,3928695.0,False,Compliant,27.39,0.47
158,NonResidential,Other,2,GREATER DUWAMISH,47.59085,-122.33354,1999,3,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,Rien,28444.075817081597,125.0999985,57406988.0,0.0,40622381.0,False,Compliant,1246.55,1.06
159,NonResidential,Hotel,2,GREATER DUWAMISH,47.59269,-122.33372,2005,9,14567,"Food Service, Hotel, Parking",Hotel,Parking,20600.0,183.0,12871628.0,0.0,6232233.0,False,Compliant,388.37,2.31
160,NonResidential,Warehouse,1,GREATER DUWAMISH,47.57507,-122.35747,1916,4,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Rien,28444.075817081597,95.09999847,2411402.25,0.0,2411402.0,False,Compliant,16.81,0.21
161,SPS-District K-12,K-12 School,4,LAKE UNION,47.65996,-122.33962,1997,4,0,K-12 School,K-12 School,Rien,28444.075817081597,60.79999924,8886716.0,0.0,3096316.0,True,Error - Correct Default Data,270.97,1.12
162,Campus,Large Office,1,GREATER DUWAMISH,47.52429,-122.31234,1980,2,31874,"Laboratory, Non-Refrigerated Warehouse, Office, Other - Utility",Office,Laboratory,72963.0,451.2000122,54136068.0,0.0,45321378.0,False,Compliant,748.55,2.24
163,NonResidential,Other,5,NORTH,47.70281,-122.32532,2008,6,335109,"Fast Food Restaurant, Medical Office, Movie Theater, Parking, Retail Store",Parking,Movie Theater,65000.0,285.7000122,9238992.0,0.0,6995246.0,False,Compliant,162.41,0.39
164,NonResidential,Mixed Use Property,7,MAGNOLIA / QUEEN ANNE,47.6239,-122.35756,2002,4,0,"Financial Office, Multifamily Housing, Parking, Retail Store, Supermarket/Grocery Store",Multifamily Housing,Supermarket/Grocery Store,48520.0,291.3999939,10864032.0,0.0,10139555.0,False,Compliant,92.91,0.84
165,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61316,-122.34153,2003,7,0,"Multifamily Housing, Office, Other - Lodging/Residential, Retail Store",Multifamily Housing,Office,27403.0,175.3999939,10442680.0,0.0,5502627.0,False,Compliant,279.35,2.39
166,NonResidential,Hotel,7,DOWNTOWN,47.61275,-122.3333,1999,0,0,"Hotel, Other, Parking, Restaurant, Retail Store",Hotel,Parking,438756.0,272.8999939,66502836.0,0.0,39364114.0,False,Compliant,1638.46,1.75
167,NonResidential,Hospital,3,CENTRAL,47.60705,-122.30966,1990,5,0,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),Parking,48607.0,454.3999939,147299056.0,0.0,58754927.0,False,Compliant,4906.33,8.21
168,SPS-District K-12,K-12 School,1,DELRIDGE,47.52518,-122.34828,1999,1,0,K-12 School,K-12 School,Rien,28444.075817081597,91.40000153,2470597.75,0.0,1944216.0,True,Error - Correct Default Data,36.24,0.51
169,NonResidential,Warehouse,4,LAKE UNION,47.65097,-122.34227,1991,3,8161,"Non-Refrigerated Warehouse, Parking",Non-Refrigerated Warehouse,Parking,8161.0,21.70000076,571637.5,0.0,423381.0,False,Compliant,9.63,0.13
170,NonResidential,Hospital,3,EAST,47.60399,-122.32377,2000,8,0,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),Parking,387651.0,502.8999939,296671744.0,122575032.0,168683602.0,False,Compliant,10734.57,9.26
171,NonResidential,Senior Care Community,2,DOWNTOWN,47.59626,-122.3218,1999,5,12611,"K-12 School, Medical Office, Office, Restaurant, Retail Store, Senior Care Community",Senior Care Community,Medical Office,40091.0,254.3000031,10281401.0,0.0,7428816.0,False,Compliant,193.94,1.89
172,SPS-District K-12,K-12 School,1,SOUTHWEST,47.57678,-122.38459,2002,2,0,K-12 School,K-12 School,Rien,28444.075817081597,90.0,9030149.0,0.0,4894851.0,True,Error - Correct Default Data,207.79,0.99
173,Multifamily MR (5-9),Mid-Rise Multifamily,7,EAST,47.6136,-122.32785,1909,6,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,156.8000031,4480534.5,0.0,1673151.0,False,Compliant,145.31,2.8
174,NonResidential,K-12 School,4,NORTHEAST,47.66568,-122.31368,1928,2,0,K-12 School,K-12 School,Rien,28444.075817081597,26.29999924,1597907.25,0.0,6138.0,False,Compliant,72.88,1.31
175,NonResidential,Hotel,4,NORTHEAST,47.66151,-122.31457,1931,16,0,Hotel,Hotel,Rien,28444.075817081597,186.8999939,12616417.0,0.0,3561742.0,False,Compliant,469.57,4.39
176,NonResidential,Small- and Mid-Sized Office,5,NORTH,47.71895,-122.29475,1972,5,0,"Office, Restaurant",Office,Restaurant,3680.0,170.3999939,3321734.0,0.0,2558533.0,False,Compliant,49.09,0.97
177,NonResidential,Worship Facility,4,NORTHEAST,47.66182,-122.31113,1952,2,0,Worship Facility,Worship Facility,Rien,28444.075817081597,81.0,2762805.5,0.0,975113.0,False,Compliant,84.57,1.49
178,NonResidential,Worship Facility,4,NORTHEAST,47.6626,-122.31164,1952,3,0,Worship Facility,Worship Facility,Rien,28444.075817081597,96.90000153,5391782.0,0.0,2338435.0,False,Compliant,149.93,1.46
179,SPS-District K-12,K-12 School,4,NORTHEAST,47.67723,-122.31281,2006,3,0,K-12 School,K-12 School,Rien,28444.075817081597,96.80000305,11208195.0,0.0,7203965.0,True,Error - Correct Default Data,225.19,0.84
180,SPS-District K-12,K-12 School,4,NORTHEAST,47.67184,-122.29221,2001,3,0,K-12 School,K-12 School,Rien,28444.075817081597,82.40000153,3011741.75,0.0,1589543.0,True,Error - Correct Default Data,71.86,0.96
181,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,47.64052,-122.3656,2003,3,0,K-12 School,K-12 School,Rien,28444.075817081597,80.80000305,2457326.25,0.0,1733685.0,True,Error - Correct Default Data,43.98,0.58
182,SPS-District K-12,K-12 School,1,SOUTHWEST,47.57298,-122.39028,2005,3,0,K-12 School,K-12 School,Rien,28444.075817081597,74.59999847,4135198.25,0.0,2895105.0,True,Error - Correct Default Data,69.42,0.51
183,SPS-District K-12,K-12 School,3,CENTRAL,47.59096,-122.29985,1991,2,0,K-12 School,K-12 School,Rien,28444.075817081597,110.3000031,2453255.5,0.0,2295176.0,True,Error - Correct Default Data,16.0,0.25
184,SPS-District K-12,K-12 School,6,NORTHWEST,47.67725,-122.32232,1927,3,0,K-12 School,K-12 School,Rien,28444.075817081597,74.40000153,5280739.0,0.0,967866.0,True,Error - Correct Default Data,201.05,2.17
185,NonResidential,Other,7,DOWNTOWN,47.61103,-122.33238,1914,7,0,"Office, Other, Other - Entertainment/Public Assembly",Other - Entertainment/Public Assembly,Other,12876.0,142.3999939,6057410.0,0.0,5732650.0,False,Compliant,57.21,0.44
186,NonResidential,Residence Hall,7,DOWNTOWN,47.6079,-122.33266,1913,9,0,"Office, Residence Hall/Dormitory, Retail Store",Residence Hall/Dormitory,Office,27143.0,113.5,5879083.0,3076446.5,2496056.0,False,Compliant,254.87,2.37
187,NonResidential,Other,7,DOWNTOWN,47.60699,-122.33481,1955,15,0,Other,Other,Rien,28444.075817081597,962.0999756,61674856.0,0.0,62197171.0,False,Compliant,433.6,1.88
188,Multifamily LR (1-4),Low-Rise Multifamily,1,DELRIDGE,47.56379,-122.36301,1917,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,80.80000305,2185550.5,0.0,1191899.0,False,Compliant,50.52,0.89
189,Multifamily MR (5-9),Mid-Rise Multifamily,5,NORTH,47.72232,-122.29181,2009,6,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,133.8999939,2574628.5,0.0,1555274.0,False,Compliant,59.63,1.05
190,Multifamily LR (1-4),Low-Rise Multifamily,2,GREATER DUWAMISH,47.53685,-122.28406,2003,4,0,"Medical Office, Multifamily Housing, Office, Retail Store",Multifamily Housing,Medical Office,12917.0,193.3999939,2864132.5,0.0,2675217.0,False,Compliant,23.8,0.35
191,SPS-District K-12,K-12 School,2,GREATER DUWAMISH,47.55237,-122.31391,2007,3,0,K-12 School,K-12 School,Rien,28444.075817081597,88.09999847,8935423.0,0.0,4528726.0,True,Error - Correct Default Data,226.06,1.1
192,NonResidential,Other,7,MAGNOLIA / QUEEN ANNE,47.63965,-122.3783,1973,1,0,Other,Other,Rien,28444.075817081597,86.09999847,3576720.0,0.0,1563366.0,False,Compliant,101.41,1.33
193,NonResidential,Medical Office,7,MAGNOLIA / QUEEN ANNE,47.61972,-122.36033,1927,5,39000,"Medical Office, Office",Medical Office,Office,9805.0,443.0,28731502.0,0.0,18745441.0,False,Compliant,661.04,3.48
194,NonResidential,Hotel,7,DOWNTOWN,47.6124,-122.35075,1961,4,0,Hotel,Hotel,Rien,28444.075817081597,326.6000061,26122018.0,0.0,6322533.0,False,Compliant,1060.13,8.67
195,Campus,Other,7,DOWNTOWN,47.61137,-122.34947,1995,3,0,Other,Other,Rien,28444.075817081597,248.8999939,24606366.0,0.0,13788853.0,False,Compliant,639.39,2.97
196,NonResidential,Hotel,7,DOWNTOWN,47.61069,-122.34653,2003,8,38800,Hotel,Hotel,Rien,28444.075817081597,204.8999939,26831896.0,0.0,13763542.0,False,Compliant,780.84,3.07
197,Nonresidential COS,Other,7,DOWNTOWN,47.60729,-122.34211,1980,2,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,Rien,28444.075817081597,541.7000122,15230290.0,0.0,10534370.0,False,Compliant,301.76,4.35
198,NonResidential,Mixed Use Property,7,DOWNTOWN,47.6041,-122.33958,1900,1,0,"Other, Restaurant, Retail Store",Restaurant,Other,29793.0,286.7000122,10883874.0,0.0,3787933.0,False,Compliant,377.27,6.0
199,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60271,-122.33557,1914,4,0,"Office, Retail Store",Office,Retail Store,7000.0,84.5,1500938.5,492761.8125,887532.0,False,Compliant,44.22,0.78
200,NonResidential,Warehouse,2,GREATER DUWAMISH,47.59486,-122.32455,2008,4,0,"Non-Refrigerated Warehouse, Other - Services",Non-Refrigerated Warehouse,Other - Services,44132.0,58.40000153,3944732.0,0.0,3785282.0,False,Compliant,26.39,0.13
201,NonResidential,Large Office,7,DOWNTOWN,47.61757,-122.35122,1968,3,26731,Office,Office,Rien,28444.075817081597,305.1000061,9892566.0,0.0,9788716.0,False,Compliant,68.24,0.68
202,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61703,-122.35012,1981,4,18504,"Office, Parking",Office,Parking,17570.0,228.8999939,5168686.5,0.0,4286102.0,False,Compliant,68.19,0.88
203,NonResidential,Large Office,7,DOWNTOWN,47.61619,-122.34599,1978,12,21790,"Financial Office, Laboratory, Office, Parking",Office,Laboratory,29865.0,276.6000061,18811322.0,0.0,18246151.0,False,Compliant,149.27,0.64
204,NonResidential,Large Office,7,DOWNTOWN,47.61217,-122.33694,1989,25,0,"Office, Parking",Office,Parking,127192.0,202.5,24755086.0,0.0,24755084.0,False,Compliant,172.58,0.47
205,NonResidential,Retail Store,7,DOWNTOWN,47.61229,-122.33629,1925,10,0,"Office, Retail Store",Retail Store,Office,332343.0,173.6999969,40037736.0,21230.80078,37497068.0,False,Compliant,398.19,0.57
206,NonResidential,Large Office,7,DOWNTOWN,47.61316,-122.3343,1976,33,0,"Lifestyle Center, Office, Other, Parking, Restaurant",Office,Parking,132465.0,189.5,42227404.0,0.0,40839637.0,False,Compliant,313.3,0.4
207,NonResidential,Large Office,7,DOWNTOWN,47.61399,-122.33523,2000,23,205076,"Office, Parking, Restaurant",Office,Parking,219045.0,164.6000061,31693704.0,0.0,27883939.0,False,Compliant,359.11,0.48
208,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61356,-122.33665,1926,10,7757,"Office, Retail Store",Office,Retail Store,6187.0,131.6999969,3826622.5,2086424.75,1357845.0,False,Compliant,170.51,2.69
209,NonResidential,Large Office,7,DOWNTOWN,47.61375,-122.33566,1930,17,30000,"Office, Other - Recreation, Parking, Retail Store",Office,Other - Recreation,17070.0,127.8000031,8081443.0,0.0,6736076.0,False,Compliant,100.26,0.49
210,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61256,-122.33808,1916,5,0,"Office, Retail Store",Office,Retail Store,9976.0,191.6999969,3992167.75,0.0,3757005.0,False,Compliant,26.19,0.36
211,NonResidential,Large Office,7,DOWNTOWN,47.61391,-122.33725,1969,20,32334,"Office, Parking",Office,Parking,29214.0,146.6999969,15742790.0,6568832.0,8064399.0,False,Compliant,563.25,2.12
212,NonResidential,Large Office,7,DOWNTOWN,47.61578,-122.33726,2009,25,228668,"Office, Parking",Office,Parking,191082.0,142.3999939,27018020.0,0.0,26131643.0,False,Compliant,229.25,0.3
213,NonResidential,Large Office,7,DOWNTOWN,47.61641,-122.34112,1968,12,0,"Office, Parking",Office,Parking,51250.0,139.5,9075988.0,2312496.75,6267781.0,False,Compliant,222.19,1.08
214,NonResidential,Large Office,7,DOWNTOWN,47.61555,-122.33582,2009,36,154972,"Office, Parking",Office,Parking,161119.0,166.8999939,39360016.0,0.0,39523847.0,False,Compliant,275.54,0.33
215,NonResidential,Large Office,7,DOWNTOWN,47.61516,-122.33303,1990,16,141600,"Fitness Center/Health Club/Gym, Office, Other, Parking, Restaurant",Office,Parking,123356.0,164.6000061,18468776.0,0.0,17733276.0,False,Compliant,130.73,0.27
216,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60266,-122.33332,1900,7,0,"Office, Retail Store, Social/Meeting Hall",Office,Retail Store,10058.0,141.6000061,4135330.5,348386.8125,3554872.0,False,Compliant,51.67,0.58
217,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60219,-122.33347,1900,6,0,"Office, Retail Store",Office,Retail Store,7000.0,145.3999939,4188308.75,0.0,4116601.0,False,Compliant,31.97,0.36
218,NonResidential,Large Office,7,DOWNTOWN,47.6036,-122.33288,1922,15,0,Office,Office,Rien,28444.075817081597,144.0,18982748.0,1192343.75,17384553.0,False,Compliant,213.23,0.55
219,NonResidential,Large Office,7,DOWNTOWN,47.60403,-122.33497,1929,22,0,"Convenience Store without Gas Station, Food Service, Office",Office,Convenience Store without Gas Station,3291.899902,89.30000305,10471812.0,0.0,10062435.0,False,Compliant,70.15,0.18
220,NonResidential,Large Office,7,DOWNTOWN,47.6037,-122.33447,1958,17,84600,"Office, Parking",Office,Parking,83311.0,240.8999939,0.0,10921066.0,13985064.0,False,Compliant,940.47,2.48
221,NonResidential,Large Office,7,DOWNTOWN,47.60505,-122.33427,1983,47,0,"Office, Parking, Restaurant",Office,Parking,272682.0,133.5,44683660.0,0.0,44521844.0,False,Compliant,318.97,0.24
222,NonResidential,Large Office,7,DOWNTOWN,47.60567,-122.33511,1986,41,129432,"Office, Parking, Pre-school/Daycare",Office,Parking,107667.0,160.6999969,24603420.0,0.0,24603417.0,False,Compliant,171.52,0.29
223,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60542,-122.33588,1950,6,1392,"Office, Parking",Office,Parking,1392.0,53.90000153,1916413.75,480784.0,1355021.0,False,Compliant,46.56,0.51
